"DT_ENTUTI","INTERNACAO_UTI","RECUPERADOS_UTI"
2020-03-15,1,1
2020-03-20,1,1
2020-03-22,1,1
2020-03-25,1,1
2020-03-26,1,1
2020-03-27,1,1
2020-03-29,1,1
2020-03-30,1,1
2020-03-31,2,2
2020-04-03,3,2
2020-04-05,2,2
2020-04-11,1,1
2020-05-04,1,1
2020-05-11,1,1
2020-05-16,1,1
2020-05-17,1,1
2020-05-20,1,1
2020-05-29,1,1
2020-06-01,1,1
2020-06-03,1,0
2020-06-04,1,1
2020-06-06,2,0
2020-06-07,2,1
2020-06-10,1,1
2020-06-14,2,1
2020-06-16,1,1
2020-06-17,1,1
2020-06-18,1,0
2020-06-19,2,1
2020-06-20,2,1
2020-06-22,1,0
2020-06-24,3,2
2020-06-26,3,3
2020-06-27,2,2
2020-06-28,4,2
2020-06-30,2,2
2020-07-01,5,4
2020-07-02,1,1
2020-07-03,2,0
2020-07-04,2,1
2020-07-05,5,5
2020-07-06,1,0
2020-07-07,5,2
2020-07-08,4,2
2020-07-09,2,0
2020-07-11,2,1
2020-07-12,4,1
2020-07-13,1,1
2020-07-14,2,0
2020-07-15,1,1
2020-07-16,3,1
2020-07-17,3,2
2020-07-18,2,1
2020-07-19,3,0
2020-07-20,2,1
2020-07-21,5,3
2020-07-22,4,1
2020-07-24,1,1
2020-07-25,3,2
2020-07-26,3,0
2020-07-27,6,2
2020-07-28,5,2
2020-07-29,4,1
2020-07-30,2,2
2020-07-31,2,1
2020-08-01,2,1
2020-08-02,2,1
2020-08-03,2,1
2020-08-04,2,1
2020-08-05,4,1
2020-08-06,1,1
2020-08-07,3,2
2020-08-08,1,0
2020-08-09,1,0
2020-08-10,2,0
2020-08-11,1,0
2020-08-12,1,0
2020-08-13,1,1
2020-08-14,1,0
2020-08-16,1,0
2020-08-18,1,0
2020-08-20,2,0
